word,n,is_phrase_member,category
spice,45,FALSE,
time,45,FALSE,
wings,45,FALSE,
zheng,45,FALSE,
center,44,FALSE,
ding,44,FALSE,
fine,44,TRUE,
happiness,44,TRUE,symbols
lantern,44,TRUE,symbols
liang,44,TRUE,
seasons,44,TRUE,
yin,44,FALSE,
flower,43,TRUE,
northern,43,TRUE,places
sunrise,43,TRUE,
market,42,FALSE,
mayflower,42,TRUE,
yuen,42,FALSE,names
fire,41,FALSE,
jia,41,FALSE,
malatang,41,TRUE,
villa,41,TRUE,
york,41,TRUE,
cheung,40,FALSE,names
eat,40,FALSE,
eggroll,40,FALSE,
hotpot,40,FALSE,
mala,40,FALSE,
shan,40,FALSE,
chili,39,FALSE,
cook,39,TRUE,
crazy,39,TRUE,
fat,39,FALSE,
chao,38,FALSE,
empress,38,FALSE,symbols
hui,38,FALSE,
kowloon,38,TRUE,places
min,38,FALSE,
ping,38,FALSE,
queen,38,TRUE,
taiwanese,38,TRUE,places
yunnan,38,TRUE,places
jasmine,37,FALSE,
spot,37,FALSE,
ten,37,TRUE,
cantonese,36,FALSE,places
cathay,36,FALSE,places|symbols
delicious,36,FALSE,
diamond,36,FALSE,symbols
halal,36,TRUE,
pick,36,FALSE,
ruby,36,FALSE,symbols
xiao,36,FALSE,
yee,36,FALSE,
bakery,35,FALSE,
cottage,35,TRUE,
hung,35,FALSE,
leeann,35,TRUE,
sesame,35,FALSE,
shangri,35,FALSE,
store,35,TRUE,
tiger,35,FALSE,
zen,35,FALSE,symbols
zhang,35,FALSE,
club,34,FALSE,
lan,34,FALSE,
lunch,34,FALSE,
rest,34,TRUE,
sizzling,34,TRUE,
sweet,34,FALSE,
abc,33,TRUE,
blossom,33,FALSE,
harvest,33,FALSE,
mein,33,TRUE,
mulan,33,TRUE,symbols
peter,33,TRUE,names
qing,33,TRUE,symbols
shabu,33,TRUE,
chens,32,FALSE,
joe,32,FALSE,names
quick,32,TRUE,
mountain,31,FALSE,
orchid,31,FALSE,
restaurants,31,FALSE,
road,31,TRUE,
xpress,31,FALSE,
cooking,30,FALSE,
fuji,30,FALSE,
grace,30,TRUE,symbols
mark,30,FALSE,names
nice,30,FALSE,
xian,30,FALSE,
zhou,30,FALSE,
dimsum,29,FALSE,
flavor,29,FALSE,
goody,29,TRUE,
iron,29,TRUE,
light,29,FALSE,
modern,29,TRUE,
table,29,FALSE,
tsing,29,TRUE,
wongs,29,TRUE,
xi'an,29,TRUE,
yung,29,FALSE,
delivery,28,FALSE,
dining,28,TRUE,
doll,28,TRUE,
lily,28,FALSE,names
maple,28,TRUE,
sze,28,TRUE,
tan,28,FALSE,
day,27,TRUE,
fang,27,FALSE,
pao,27,TRUE,
tops,27,TRUE,
woo,27,TRUE,names
authentic,26,TRUE,
ave,26,FALSE,
bobo,26,TRUE,
bun,26,FALSE,
cajun,26,TRUE,
legend,26,FALSE,symbols
lion,26,FALSE,
mee,26,FALSE,
mini,26,FALSE,
pei,26,TRUE,
plaza,26,FALSE,
song,26,FALSE,
view,26,TRUE,
yao,26,FALSE,
yeung,26,FALSE,
beef,25,TRUE,
chino,25,FALSE,
choy,25,FALSE,names
dragons,25,TRUE,nature|symbols
fan,25,FALSE,
jian,25,TRUE,
land,25,TRUE,
paradise,25,FALSE,symbols
usa,25,FALSE,
alley,24,FALSE,
coast,24,TRUE,
combo,24,TRUE,
country,24,FALSE,
experience,24,TRUE,
fountain,24,TRUE,
friend,24,TRUE,
kingdom,24,FALSE,symbols
mai,24,FALSE,
moy,24,FALSE,names
peng,24,TRUE,
scoop,24,FALSE,
silk,24,TRUE,symbols
amazing,23,TRUE,
dinner,23,FALSE,
hang,23,FALSE,
lees,23,TRUE,
shi,23,FALSE,
shu,23,FALSE,
wind,23,TRUE,
101,22,FALSE,
168,22,TRUE,symbols
888,22,TRUE,symbols
broadway,22,FALSE,
brother,22,TRUE,names
capital,22,FALSE,
factory,22,FALSE,
heaven,22,FALSE,symbols
leaf,22,TRUE,
mall,22,FALSE,
mings,22,FALSE,
pho,22,FALSE,
rong,22,TRUE,
soup,22,FALSE,
yun,22,FALSE,
1st,21,TRUE,
brothers,21,FALSE,names
california,21,TRUE,
charlie,21,FALSE,names
choi,21,FALSE,
choice,21,TRUE,
friends,21,TRUE,
gong,21,FALSE,
kai,21,FALSE,
kwong,21,FALSE,names
lou,21,FALSE,names
pantry,21,TRUE,
papa,21,FALSE,names
saigon,21,FALSE,places
season,21,TRUE,
tiki,21,FALSE,
tony,21,FALSE,names
yue,21,FALSE,
chans,20,FALSE,
crystal,20,FALSE,symbols
din,20,FALSE,
hill,20,FALSE,
jimmy,20,FALSE,names
john,20,FALSE,names
kang,20,FALSE,
kin,20,TRUE,
manor,20,TRUE,
peony,20,FALSE,nature|symbols
seas,20,TRUE,
son,20,TRUE,
yong,20,FALSE,
cafeteria,19,TRUE,
central,19,FALSE,
danny,19,FALSE,names
emerald,19,FALSE,symbols
guang,19,FALSE,
guo,19,FALSE,
heng,19,FALSE,
henry,19,TRUE,names
kwan,19,FALSE,names
lok,19,FALSE,
pine,19,FALSE,
plum,19,TRUE,
run,19,FALSE,
sakura,19,FALSE,
triple,19,FALSE,
vietnamese,19,FALSE,
wen,19,FALSE,
yip,19,FALSE,names
bento,18,FALSE,
boiling,18,TRUE,
café,18,FALSE,
changs,18,FALSE,
dan,18,FALSE,
fei,18,FALSE,
fen,18,TRUE,
gui,18,TRUE,
hawaii,18,FALSE,
hometown,18,FALSE,
kirin,18,FALSE,nature|symbols
kungfu,18,FALSE,
mom,18,TRUE,names
orange,18,TRUE,
rising,18,TRUE,
skewer,18,FALSE,
square,18,FALSE,
stars,18,TRUE,
wai,18,FALSE,
august,17,TRUE,
cart,17,FALSE,
cha,17,TRUE,
chai,17,FALSE,
dish,17,FALSE,
eddie,17,FALSE,names
grille,17,FALSE,
ichiban,17,TRUE,food
khan,17,TRUE,symbols
loon,17,FALSE,
meet,17,FALSE,
miss,17,FALSE,names
original,17,FALSE,
quik,17,TRUE,
rolls,17,FALSE,
shen,17,FALSE,
snack,17,FALSE,
sunshine,17,FALSE,
